MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,cx,cy
E02000045,Barnet 022,E09000003,Barnet,E12000007,London,10237,10226,11,59,4168,2.5,-0.154385935,51.606235
E02000046,Barnet 023,E09000003,Barnet,E12000007,London,7063,7000,63,72.9,2860,2.4,-0.188034059,51.60161246
E02000047,Barnet 024,E09000003,Barnet,E12000007,London,11373,11207,166,80,4036,2.8,-0.262293994,51.60258947
E02000048,Barnet 025,E09000003,Barnet,E12000007,London,9817,9817,0,31.8,3784,2.6,-0.218888708,51.60250567
E02000049,Barnet 026,E09000003,Barnet,E12000007,London,8503,8503,0,107.9,3028,2.8,-0.246162444,51.60215692
E02000050,Barnet 027,E09000003,Barnet,E12000007,London,10064,10052,12,47.5,3853,2.6,-0.171704391,51.60017114
E02000051,Barnet 028,E09000003,Barnet,E12000007,London,8647,8569,78,59.7,3537,2.4,-0.199438003,51.59419299
E02000052,Barnet 029,E09000003,Barnet,E12000007,London,9698,9698,0,100.1,4163,2.3,-0.168819654,51.59132864
E02000053,Barnet 030,E09000003,Barnet,E12000007,London,8697,8250,447,56.1,3244,2.5,-0.246585227,51.59336029
E02000054,Barnet 031,E09000003,Barnet,E12000007,London,7206,7175,31,48,2774,2.6,-0.231593651,51.59295112
E02000055,Barnet 032,E09000003,Barnet,E12000007,London,11130,10893,237,77.3,4179,2.6,-0.223621124,51.58761402
E02000056,Barnet 033,E09000003,Barnet,E12000007,London,9212,9042,170,28.5,3390,2.7,-0.177804991,51.58129924
E02000057,Barnet 034,E09000003,Barnet,E12000007,London,7484,7437,47,68.4,2460,3,-0.217770969,51.58286171
E02000058,Barnet 035,E09000003,Barnet,E12000007,London,10220,10177,43,56.4,3961,2.6,-0.194822314,51.58287782
E02000059,Barnet 036,E09000003,Barnet,E12000007,London,10459,10442,17,47.7,3990,2.6,-0.243709652,51.57862155
E02000060,Barnet 037,E09000003,Barnet,E12000007,London,10920,10693,227,88.6,3400,3.1,-0.207803253,51.57900972
E02000061,Barnet 038,E09000003,Barnet,E12000007,London,8013,7875,138,50.5,3172,2.5,-0.195333092,51.56969641
E02000062,Barnet 039,E09000003,Barnet,E12000007,London,6340,6302,38,34.5,2357,2.7,-0.221863906,51.56949624
E02000063,Barnet 040,E09000003,Barnet,E12000007,London,6971,6886,85,67.2,2503,2.8,-0.211193748,51.56614884
E02000064,Barnet 041,E09000003,Barnet,E12000007,London,6248,6016,232,78.7,2450,2.5,-0.202582713,51.56028192
E02000065,Bexley 001,E09000004,Bexley,E12000007,London,7666,7652,14,23.9,2728,2.8,0.136081282,51.50299521
E02000066,Bexley 002,E09000004,Bexley,E12000007,London,9641,9599,42,61.3,3795,2.5,0.130528662,51.49360611
E02000067,Bexley 003,E09000004,Bexley,E12000007,London,8750,8737,13,37.8,3580,2.4,0.1517474,51.49373229
E02000068,Bexley 004,E09000004,Bexley,E12000007,London,7388,7388,0,32.5,3041,2.4,0.169791228,51.48858743
E02000069,Bexley 005,E09000004,Bexley,E12000007,London,6194,6144,50,42.7,2495,2.5,0.159977413,51.48251275
E02000070,Bexley 006,E09000004,Bexley,E12000007,London,7875,7875,0,42.4,3177,2.5,0.134029407,51.48158066
E02000071,Bexley 007,E09000004,Bexley,E12000007,London,7300,7300,0,61.9,2782,2.6,0.15620461,51.47443412
E02000072,Bexley 008,E09000004,Bexley,E12000007,London,11734,11726,8,26.8,4722,2.5,0.197702819,51.47153259
E02000073,Bexley 009,E09000004,Bexley,E12000007,London,10724,10724,0,67,3968,2.7,0.126990897,51.47193462
E02000074,Bexley 010,E09000004,Bexley,E12000007,London,7655,7573,82,67.8,3185,2.4,0.177222482,51.46875826
E02000075,Bexley 011,E09000004,Bexley,E12000007,London,7948,7920,28,51.8,3172,2.5,0.143764727,51.46898529
E02000077,Bexley 013,E09000004,Bexley,E12000007,London,7823,7760,63,70,2870,2.7,0.114387168,51.46765272
E02000078,Bexley 014,E09000004,Bexley,E12000007,London,7665,7665,0,51.5,3036,2.5,0.167562887,51.46550289
E02000079,Bexley 015,E09000004,Bexley,E12000007,London,7865,7713,152,47.7,3267,2.4,0.140104374,51.45876551
E02000080,Bexley 016,E09000004,Bexley,E12000007,London,9430,9430,0,55.7,3702,2.5,0.105410824,51.45954839
E02000081,Bexley 017,E09000004,Bexley,E12000007,London,7513,7486,27,34.1,3106,2.4,0.159579812,51.45620239
E02000082,Bexley 018,E09000004,Bexley,E12000007,London,8876,8876,0,59.3,3356,2.6,0.089869448,51.45794619
E02000083,Bexley 019,E09000004,Bexley,E12000007,London,9771,9750,21,26.1,3985,2.4,0.181676015,51.45257334
E02000084,Bexley 020,E09000004,Bexley,E12000007,London,10641,10635,6,41,4209,2.5,0.128196884,51.4521711
E02000085,Bexley 021,E09000004,Bexley,E12000007,London,7893,7893,0,48.6,3084,2.6,0.110483108,51.44831005
E02000086,Bexley 022,E09000004,Bexley,E12000007,London,7328,7323,5,49.2,2789,2.6,0.097686608,51.44427728
E02000087,Bexley 023,E09000004,Bexley,E12000007,London,7579,7559,20,20.4,3142,2.4,0.152209264,51.44113499
E02000088,Bexley 024,E09000004,Bexley,E12000007,London,7737,7737,0,38.7,2984,2.6,0.123196695,51.43869243
E02000089,Bexley 025,E09000004,Bexley,E12000007,London,7783,7635,148,56.9,2899,2.6,0.085943002,51.43647503
E02000090,Bexley 026,E09000004,Bexley,E12000007,London,8726,8469,257,48.2,3962,2.1,0.097326175,51.4301496
E02000091,Bexley 027,E09000004,Bexley,E12000007,London,9682,9542,140,35.4,4279,2.2,0.111360853,51.42553447
E02000092,Bexley 028,E09000004,Bexley,E12000007,London,6426,6407,19,10.7,2722,2.4,0.136391223,51.4227755
E02000093,Brent 001,E09000005,Brent,E12000007,London,10883,10776,107,79,3408,3.2,-0.274991912,51.59353212
E02000094,Brent 002,E09000005,Brent,E12000007,London,8746,8640,106,75.2,2738,3.2,-0.259808733,51.58838537
E02000095,Brent 003,E09000005,Brent,E12000007,London,9921,9783,138,64.1,3117,3.1,-0.280392986,51.58433237
E02000096,Brent 004,E09000005,Brent,E12000007,London,7598,7535,63,46.5,2518,3,-0.303805339,51.58040034
E02000097,Brent 005,E09000005,Brent,E12000007,London,8958,8958,0,47.9,2926,3.1,-0.264051179,51.57675837
E02000098,Brent 006,E09000005,Brent,E12000007,London,7944,7917,27,43.2,2652,3,-0.284322248,51.57419173
E02000099,Brent 007,E09000005,Brent,E12000007,London,8707,8651,56,67.6,2782,3.1,-0.30144196,51.5692935
E02000100,Brent 008,E09000005,Brent,E12000007,London,8388,7718,670,40.4,2696,2.9,-0.318079113,51.57105814
E02000101,Brent 009,E09000005,Brent,E12000007,London,9332,9162,170,66.5,3312,2.8,-0.269678114,51.56641358
E02000102,Brent 010,E09000005,Brent,E12000007,London,7787,7783,4,57.3,2496,3.1,-0.251306207,51.56647725
E02000103,Brent 011,E09000005,Brent,E12000007,London,8723,8705,18,49.2,2994,2.9,-0.234326096,51.56367452
E02000104,Brent 012,E09000005,Brent,E12000007,London,6767,6665,102,61.1,2213,3,-0.291966921,51.56258271
E02000105,Brent 013,E09000005,Brent,E12000007,London,9202,9160,42,67.2,2997,3.1,-0.31296333,51.55956073
E02000106,Brent 014,E09000005,Brent,E12000007,London,10217,10208,9,76.2,3449,3,-0.250625461,51.5574695
E02000107,Brent 015,E09000005,Brent,E12000007,London,10692,10625,67,112,4107,2.6,-0.220364171,51.55568817
E02000108,Brent 016,E09000005,Brent,E12000007,London,6584,6565,19,81,2147,3.1,-0.325273894,51.55720468
E02000109,Brent 017,E09000005,Brent,E12000007,London,9864,9693,171,50.8,3264,3,-0.277228926,51.55594749
E02000110,Brent 018,E09000005,Brent,E12000007,London,8087,8083,4,101.2,2969,2.7,-0.231708505,51.55313755
E02000111,Brent 019,E09000005,Brent,E12000007,London,9782,9696,86,86.7,2914,3.3,-0.304684419,51.55150183
E02000112,Brent 020,E09000005,Brent,E12000007,London,9432,9326,106,74.3,2892,3.2,-0.285453386,51.55018711
E02000113,Brent 021,E09000005,Brent,E12000007,London,9655,9655,0,65.1,3306,2.9,-0.261682681,51.5505381
E02000114,Brent 022,E09000005,Brent,E12000007,London,9010,8997,13,146.9,3528,2.6,-0.228719105,51.54679481
E02000115,Brent 023,E09000005,Brent,E12000007,London,8340,8298,42,98.3,3911,2.1,-0.212281132,51.5471829
E02000116,Brent 024,E09000005,Brent,E12000007,London,8153,8146,7,74.4,3072,2.7,-0.237604059,51.54450528
E02000117,Brent 025,E09000005,Brent,E12000007,London,12013,11944,69,135,4557,2.6,-0.249935354,51.54472568
E02000118,Brent 026,E09000005,Brent,E12000007,London,9425,9419,6,76.4,2849,3.3,-0.288903492,51.54363657
E02000119,Brent 027,E09000005,Brent,E12000007,London,7248,7222,26,28.2,2597,2.8,-0.269933431,51.53705104
E02000120,Brent 028,E09000005,Brent,E12000007,London,9214,9204,10,182.1,4277,2.2,-0.200286531,51.54015992
E02000121,Brent 029,E09000005,Brent,E12000007,London,8933,8932,1,64,2623,3.4,-0.300253312,51.5402817
E02000122,Brent 030,E09000005,Brent,E12000007,London,8079,8063,16,67.2,3047,2.6,-0.220467941,51.54073626
E02000123,Brent 031,E09000005,Brent,E12000007,London,14719,14657,62,142.2,5884,2.5,-0.245686986,51.53633505
E02000124,Brent 032,E09000005,Brent,E12000007,London,10222,10168,54,93.2,4334,2.3,-0.211222455,51.5352199
E02000125,Brent 033,E09000005,Brent,E12000007,London,10815,10803,12,141.2,4329,2.5,-0.229077054,51.53435504
E02000126,Brent 034,E09000005,Brent,E12000007,London,7775,7738,37,177.6,3381,2.3,-0.196864819,51.53309534
E02000127,Bromley 001,E09000006,Bromley,E12000007,London,8483,8435,48,38.1,3675,2.3,0.040321707,51.43315014
E02000128,Bromley 002,E09000006,Bromley,E12000007,London,7294,7230,64,28.8,3006,2.4,0.07337669,51.42335469
E02000130,Bromley 004,E09000006,Bromley,E12000007,London,7914,7889,25,53.3,3464,2.3,-0.046631325,51.41884979
E02000131,Bromley 005,E09000006,Bromley,E12000007,London,8954,8894,60,50.7,4589,1.9,-0.069274605,51.41922866
E02000132,Bromley 006,E09000006,Bromley,E12000007,London,8567,8486,81,49.3,4668,1.8,-0.029190348,51.41541116
E02000133,Bromley 007,E09000006,Bromley,E12000007,London,9606,9403,203,16.1,3961,2.4,0.058584271,51.40998584
E02000134,Bromley 008,E09000006,Bromley,E12000007,London,10773,10614,159,55.7,5106,2.1,0.018419704,51.41210177
E02000135,Bromley 009,E09000006,Bromley,E12000007,London,9734,9614,120,84.1,4402,2.2,-0.062448661,51.41154875
E02000136,Bromley 010,E09000006,Bromley,E12000007,London,5728,5323,405,12.6,2207,2.4,0.089725066,51.40775912
E02000137,Bromley 011,E09000006,Bromley,E12000007,London,7826,7679,147,42,3637,2.1,-0.002858671,51.40745238
E02000138,Bromley 012,E09000006,Bromley,E12000007,London,7936,7927,9,38.1,4057,2,-0.018162077,51.40642988
E02000139,Bromley 013,E09000006,Bromley,E12000007,London,7284,7266,18,47.4,3202,2.3,-0.04316922,51.40891622
E02000140,Bromley 014,E09000006,Bromley,E12000007,London,8041,8041,0,42.6,3301,2.4,0.108785862,51.40480506
E02000141,Bromley 015,E09000006,Bromley,E12000007,London,6940,6918,22,74.4,3055,2.3,-0.058022136,51.40505465
E02000142,Bromley 016,E09000006,Bromley,E12000007,London,8285,8075,210,46.6,3283,2.5,0.033249722,51.40473259
E02000144,Bromley 018,E09000006,Bromley,E12000007,London,8681,8663,18,43.7,3831,2.3,0.014413407,51.39927397
E02000145,Bromley 019,E09000006,Bromley,E12000007,London,8086,8076,10,7.2,3376,2.4,0.135254959,51.39302892
E02000146,Bromley 020,E09000006,Bromley,E12000007,London,8324,8170,154,46.2,3508,2.3,0.033027534,51.39412154
E02000147,Bromley 021,E09000006,Bromley,E12000007,London,7969,7951,18,35.4,3183,2.5,-0.003203312,51.39413699
E02000148,Bromley 022,E09000006,Bromley,E12000007,London,6585,6554,31,23.5,2633,2.5,0.061654635,51.39241304
E02000149,Bromley 023,E09000006,Bromley,E12000007,London,7708,7706,2,41,3249,2.4,0.102662008,51.39098439
E02000150,Bromley 024,E09000006,Bromley,E12000007,London,8351,8235,116,27.1,3109,2.6,-0.029111891,51.38931105
E02000151,Bromley 025,E09000006,Bromley,E12000007,London,7574,7574,0,36,2994,2.5,0.079021086,51.38620237
E02000152,Bromley 026,E09000006,Bromley,E12000007,London,6572,6561,11,25.5,2623,2.5,0.048097798,51.38394042
E02000153,Bromley 027,E09000006,Bromley,E12000007,London,7755,7755,0,34.5,2860,2.7,0.01211773,51.38395216
E02000154,Bromley 028,E09000006,Bromley,E12000007,London,7959,7917,42,38.1,3293,2.4,0.094649985,51.37929799
E02000155,Bromley 029,E09000006,Bromley,E12000007,London,6905,6905,0,38,3057,2.3,0.113986518,51.37848839
E02000156,Bromley 030,E09000006,Bromley,E12000007,London,12094,12022,72,31.5,4756,2.5,-0.013022521,51.3766163
E02000157,Bromley 031,E09000006,Bromley,E12000007,London,7964,7964,0,32.5,3300,2.4,0.074857056,51.37317602
E02000158,Bromley 032,E09000006,Bromley,E12000007,London,7364,7364,0,34.1,2952,2.5,0.114020341,51.36895776
E02000159,Bromley 033,E09000006,Bromley,E12000007,London,6812,6812,0,11.6,2749,2.5,0.041893092,51.36455506
E02000160,Bromley 034,E09000006,Bromley,E12000007,London,7856,7725,131,9.3,2968,2.6,0.011132992,51.3655711
E02000161,Bromley 035,E09000006,Bromley,E12000007,London,8410,8378,32,48.9,3369,2.5,0.092892196,51.36358581
E02000162,Bromley 036,E09000006,Bromley,E12000007,London,6693,6647,46,5.2,2889,2.3,0.071520459,51.34470349
E02000163,Bromley 037,E09000006,Bromley,E12000007,London,7650,7650,0,6.8,3072,2.5,0.115776766,51.34977184
E02000165,Bromley 039,E09000006,Bromley,E12000007,London,7045,7045,0,12.4,2691,2.6,0.018337541,51.31416416
E02000166,Camden 001,E09000007,Camden,E12000007,London,7924,7916,8,26.2,3537,2.2,-0.155807071,51.56484033
E02000167,Camden 002,E09000007,Camden,E12000007,London,7944,7869,75,38.2,3629,2.2,-0.174931239,51.56177332
E02000168,Camden 003,E09000007,Camden,E12000007,London,8172,8040,132,120.1,3535,2.3,-0.142048396,51.55563864
E02000169,Camden 004,E09000007,Camden,E12000007,London,7637,6981,656,68,2942,2.4,-0.186473544,51.55688026
E02000170,Camden 005,E09000007,Camden,E12000007,London,8338,8293,45,108.1,3685,2.3,-0.201167481,51.55416138
E02000171,Camden 006,E09000007,Camden,E12000007,London,7818,7789,29,149.9,3502,2.2,-0.159030678,51.55272431
E02000172,Camden 007,E09000007,Camden,E12000007,London,10147,9919,228,151.7,4186,2.4,-0.147973198,51.54978074
E02000173,Camden 008,E09000007,Camden,E12000007,London,7675,7565,110,98.6,3569,2.1,-0.173744735,51.55000999
E02000174,Camden 009,E09000007,Camden,E12000007,London,8714,8703,11,159.7,3822,2.3,-0.136033311,51.54846813
E02000175,Camden 010,E09000007,Camden,E12000007,London,8848,8846,2,127.9,4277,2.1,-0.189874447,51.54938963
E02000176,Camden 011,E09000007,Camden,E12000007,London,6373,6289,84,160.2,3261,1.9,-0.168234175,51.5478326
E02000177,Camden 012,E09000007,Camden,E12000007,London,8948,8863,85,170.9,3865,2.3,-0.153369203,51.54565994
E02000178,Camden 013,E09000007,Camden,E12000007,London,8857,8823,34,157.7,4280,2.1,-0.199588104,51.54664577
E02000179,Camden 014,E09000007,Camden,E12000007,London,6329,6305,24,165.5,2870,2.2,-0.164189551,51.54477164
E02000180,Camden 015,E09000007,Camden,E12000007,London,8202,7662,540,169,3394,2.3,-0.131376643,51.54428257
E02000181,Camden 016,E09000007,Camden,E12000007,London,7708,7703,5,142.5,3657,2.1,-0.187314656,51.54385649
E02000182,Camden 017,E09000007,Camden,E12000007,London,6697,6638,59,83.9,2963,2.2,-0.171114723,51.54109306
E02000183,Camden 018,E09000007,Camden,E12000007,London,7913,7909,4,102.5,3881,2,-0.152702562,51.5402626
E02000184,Camden 019,E09000007,Camden,E12000007,London,8882,8726,156,133.6,3655,2.4,-0.136310318,51.539473
E02000185,Camden 020,E09000007,Camden,E12000007,London,8290,8213,77,175.6,3938,2.1,-0.18782537,51.53893215
E02000186,Camden 021,E09000007,Camden,E12000007,London,6687,6491,196,66.7,3099,2.1,-0.144617549,51.53305053
E02000187,Camden 022,E09000007,Camden,E12000007,London,8155,8064,91,84.2,3290,2.5,-0.128794489,51.53395608
E02000188,Camden 023,E09000007,Camden,E12000007,London,8322,7939,383,163.9,3170,2.5,-0.138936738,51.52890131
E02000189,Camden 024,E09000007,Camden,E12000007,London,5944,5407,537,199.7,2253,2.4,-0.118606609,51.52791947
E02000190,Camden 025,E09000007,Camden,E12000007,London,7530,5914,1616,203.2,3181,1.9,-0.124090314,51.52615972
E02000191,Camden 026,E09000007,Camden,E12000007,London,7497,5545,1952,116.8,2868,1.9,-0.134180076,51.52249221
E02000192,Camden 027,E09000007,Camden,E12000007,London,7157,7021,136,165.5,3375,2.1,-0.113067015,51.52135648
E02000193,Camden 028,E09000007,Camden,E12000007,London,7630,7010,620,70.1,3850,1.8,-0.122386162,51.51867492
E02000194,Croydon 001,E09000008,Croydon,E12000007,London,8696,8536,160,62.5,4099,2.1,-0.086727794,51.41559452
E02000195,Croydon 002,E09000008,Croydon,E12000007,London,9152,9112,40,47.3,3446,2.6,-0.105121587,51.41605726
E02000196,Croydon 003,E09000008,Croydon,E12000007,London,7403,7366,37,60.4,2553,2.9,-0.1154244,51.40990404
E02000197,Croydon 004,E09000008,Croydon,E12000007,London,9094,9072,22,91.6,3403,2.7,-0.125119884,51.40639535
E02000198,Croydon 005,E09000008,Croydon,E12000007,London,8070,8021,49,90.5,3338,2.4,-0.098626268,51.40597742
E02000199,Croydon 006,E09000008,Croydon,E12000007,London,8430,8423,7,97.7,3172,2.7,-0.091186246,51.40294909
E02000200,Croydon 007,E09000008,Croydon,E12000007,London,8294,8192,102,66.5,3811,2.1,-0.079504873,51.40318014
E02000201,Croydon 008,E09000008,Croydon,E12000007,London,8281,8281,0,96.4,3814,2.2,-0.069597526,51.39976246
E02000202,Croydon 009,E09000008,Croydon,E12000007,London,8548,8503,45,116.3,2981,2.9,-0.110646392,51.39912385
E02000203,Croydon 010,E09000008,Croydon,E12000007,London,7539,7494,45,97.5,3062,2.4,-0.097741138,51.39683112
E02000204,Croydon 011,E09000008,Croydon,E12000007,London,9407,9310,97,86.6,3146,3,-0.118999716,51.39458006
E02000206,Croydon 013,E09000008,Croydon,E12000007,London,9539,9399,140,65.3,4009,2.3,-0.089361186,51.39078301
E02000207,Croydon 014,E09000008,Croydon,E12000007,London,8999,8977,22,72.5,3592,2.5,-0.066843473,51.38869439
E02000208,Croydon 015,E09000008,Croydon,E12000007,London,9790,9645,145,111.8,3821,2.5,-0.106297261,51.38845075
E02000209,Croydon 016,E09000008,Croydon,E12000007,London,8414,8411,3,83.9,2919,2.9,-0.124648999,51.38685746
E02000210,Croydon 017,E09000008,Croydon,E12000007,London,8310,8300,10,107.2,3371,2.5,-0.077955992,51.38473429
E02000211,Croydon 018,E09000008,Croydon,E12000007,London,8000,8000,0,47.7,3279,2.4,-0.046477894,51.38346148
E02000212,Croydon 019,E09000008,Croydon,E12000007,London,8523,8522,1,68.7,2977,2.9,-0.117637864,51.38038037
E02000213,Croydon 020,E09000008,Croydon,E12000007,London,9551,9495,56,92.6,4160,2.3,-0.099604463,51.38148794
E02000214,Croydon 021,E09000008,Croydon,E12000007,London,6236,6219,17,60.5,2321,2.7,-0.066392831,51.37939939
E02000215,Croydon 022,E09000008,Croydon,E12000007,London,10518,10414,104,106.6,4991,2.1,-0.083730481,51.37864414
E02000216,Croydon 023,E09000008,Croydon,E12000007,London,6738,6622,116,30.8,3028,2.2,-0.07767794,51.36948247
E02000217,Croydon 024,E09000008,Croydon,E12000007,London,9688,9688,0,67.7,4273,2.3,-0.110855797,51.37254917
E02000218,Croydon 025,E09000008,Croydon,E12000007,London,6640,6640,0,58.3,2369,2.8,-0.030631034,51.37106525
E02000219,Croydon 026,E09000008,Croydon,E12000007,London,7686,7650,36,13.5,2999,2.6,-0.047270608,51.36531533
E02000220,Croydon 027,E09000008,Croydon,E12000007,London,9881,9509,372,66.1,4847,2,-0.096259204,51.36835561
E02000221,Croydon 028,E09000008,Croydon,E12000007,London,9820,9630,190,35,3866,2.5,-0.112571495,51.35893527
E02000222,Croydon 029,E09000008,Croydon,E12000007,London,7891,7806,85,42.4,3539,2.2,-0.086164328,51.35815011
E02000223,Croydon 030,E09000008,Croydon,E12000007,London,8371,8371,0,87.1,2875,2.9,-0.020428238,51.35409055
E02000224,Croydon 031,E09000008,Croydon,E12000007,London,7684,7646,38,60,3309,2.3,-0.099494261,51.34911945
E02000225,Croydon 032,E09000008,Croydon,E12000007,London,7535,7534,1,46.2,2708,2.8,-0.013432777,51.34779352
E02000226,Croydon 033,E09000008,Croydon,E12000007,London,7539,7350,189,23,2796,2.6,-0.066701417,51.35050236
E02000227,Croydon 034,E09000008,Croydon,E12000007,London,11411,11411,0,24.8,4851,2.4,-0.036631565,51.34601949
E02000228,Croydon 035,E09000008,Croydon,E12000007,London,7609,7539,70,24.3,2924,2.6,-0.084504887,51.34048426
E02000229,Croydon 036,E09000008,Croydon,E12000007,London,6374,6315,59,48.3,2413,2.6,-0.007107174,51.33762268
E02000230,Croydon 037,E09000008,Croydon,E12000007,London,10045,9745,300,38.4,4004,2.4,-0.112159185,51.33932884
E02000231,Croydon 038,E09000008,Croydon,E12000007,London,7685,7441,244,22.9,2543,2.9,-0.135008302,51.33454717
E02000232,Croydon 039,E09000008,Croydon,E12000007,London,6207,6178,29,14.2,2324,2.7,-0.063283596,51.3298315
E02000233,Croydon 040,E09000008,Croydon,E12000007,London,6135,5977,158,38.7,2391,2.5,-0.10870295,51.32394179
